# Chromatin Architecture Emerges during Zygotic Genome Activation Independent of Transcription
# Clemens B Hug, Alexis G Grimaldi, Kai Kruse, Juan M Vaquerizas
# http://dx.doi.org/10.1016/j.cell.2017.03.024
#
# List of consensus boundary calls for Drosophila melanogaster embryos at nuclear cycle 12, 13, 14 and at 3-4hpf
# NA denotes boundaries not called or called with a score <0.5 at this stage
#
chrom	start	end	c12	c13	c14	3-4h
2L	250000	260000	NA	0.676229116935	1.32375957126	1.39311911691
2L	440000	450000	NA	NA	NA	0.745550521543
2L	560000	570000	0.576275572256	0.774955042503	1.32514665469	1.93798173997
2L	840000	850000	0.875396378289	1.34578979247	2.61891852673	2.91748497575
2L	1135000	1145000	0.769395167884	1.01758497304	1.90101182068	2.35898988898
2L	1380000	1390000	NA	0.530243200022	1.42417683937	2.08672108406
2L	1500000	1510000	NA	0.687920786853	1.09796163562	1.42150293666
2L	1710000	1720000	NA	NA	0.995647782545	1.05037293168
2L	1950000	1960000	NA	0.53644301585	1.02445431191	1.45678642562
2L	2170000	2180000	0.789272838511	1.21147185831	1.74186442179	2.54598253556
2L	2380000	2390000	NA	0.53748101539	1.06881084295	1.14462865269
2L	2560000	2570000	NA	0.545159263255	0.641963429444	NA
2L	2740000	2750000	0.776243638731	1.48375473959	2.55346238442	2.3621739638
2L	2860000	2870000	NA	NA	NA	1.07115028917
2L	2990000	3000000	NA	0.615062686473	1.2131241179	1.48828386437
2L	3135000	3145000	NA	NA	0.938428873461	1.34366415104
2L	3460000	3470000	NA	0.881949346454	1.73818091507	2.02116673837
2L	3620000	3630000	0.589511104613	0.929180463841	1.53515566714	1.73364769808
2L	3815000	3825000	0.525093505951	0.895761222102	1.59701218533	2.41849415773
2L	4030000	4040000	NA	0.685987560947	1.91868295844	1.84517356778
2L	4370000	4380000	NA	NA	NA	2.1108965967
2L	4400000	4410000	NA	0.631090555689	1.34964766941	NA
2L	4600000	4610000	NA	NA	0.610597520045	0.580180909598
2L	4670000	4680000	0.600765879632	0.894960144543	NA	NA
2L	4820000	4830000	NA	0.646640706094	2.33128499199	2.87440905863
2L	5010000	5020000	NA	0.986942772236	1.60601875253	2.19138231869
2L	5270000	5280000	0.859144752221	1.72754499254	2.15867834259	2.57612183364
2L	5535000	5545000	1.22718249735	1.40021882349	1.46497428405	2.72784526058
2L	5760000	5770000	NA	NA	0.696205898317	0.721834437911
2L	5980000	5990000	0.544059865044	0.69155196915	1.02464409184	1.77506790659
2L	6345000	6355000	1.25595758117	1.83158207525	2.04840405606	1.038030082
2L	6490000	6500000	NA	NA	0.545677343364	1.11825442238
2L	6620000	6630000	NA	NA	0.690770735568	0.688137910431
2L	6940000	6950000	NA	0.625223643821	1.31202969222	1.30850687497
2L	7020000	7030000	NA	0.950857408979	1.64891233533	1.72784876844
